unitId,fleetId,firstSeenAt,lastSeenAt,updatedAt,lastEndOfDayMiles,endOfDayMileageByDate,vehicles,services
175001,175/0,2026-05-02T09:56:23.719Z,2026-05-02T12:45:33.873Z,2026-05-02T12:45:33.873Z,3814326,"{""2026-05-02"":3814326}","[{""vehicleId"":""50701"",""typeOfVehicle"":""C"",""position"":1,""plannedGroupId"":""175001"",""specificType"":""DP2760A"",""lengthMm"":23058,""weightTonnes"":51,""livery"":""NT"",""decor"":""ZZ"",""specialCharacteristics"":null,""numberOfSeats"":64,""vehicleStatus"":""N"",""registeredStatus"":""C"",""registeredStatusLabel"":""Operational"",""cabs"":1,""dateEnteredService"":""2000-01-10"",""dateRegistered"":""2021-10-07"",""registeredCategory"":""J"",""registeredCategoryLabel"":""Diesel mechanical multiple unit (passenger)"",""vehicleName"":null,""trainBrakeType"":""E"",""trainBrakeTypeLabel"":""EP / electro-pneumatic"",""maximumSpeedMph"":100,""restrictiveMaximumSpeedMph"":null,""radioNumberA"":null,""radioNumberB"":null,""defects"":[]},{""vehicleId"":""79701"",""typeOfVehicle"":""C"",""position"":2,""plannedGroupId"":""175001"",""specificType"":""DP2770A"",""lengthMm"":23925,""weightTonnes"":51,""livery"":""NT"",""decor"":""ZZ"",""specialCharacteristics"":null,""numberOfSeats"":70,""vehicleStatus"":""N"",""registeredStatus"":""C"",""registeredStatusLabel"":""Operational"",""cabs"":1,""dateEnteredService"":""2000-01-10"",""dateRegistered"":""2021-10-07"",""registeredCategory"":""J"",""registeredCategoryLabel"":""Diesel mechanical multiple unit (passenger)"",""vehicleName"":null,""trainBrakeType"":""E"",""trainBrakeTypeLabel"":""EP / electro-pneumatic"",""maximumSpeedMph"":100,""restrictiveMaximumSpeedMph"":null,""radioNumberA"":null,""radioNumberB"":null,""defects"":[]}]","[{""rid"":""202605027623599"",""start"":""2026-05-02T11:55:00"",""end"":""2026-05-02T12:00:00"",""startTpl"":""LARATMD"",""endTpl"":""MNTGLDJ"",""headcode"":""5C49"",""position"":1,""reversed"":false},{""rid"":""202605027623263"",""start"":""2026-05-02T12:42:00"",""end"":""2026-05-02T13:33:00"",""startTpl"":""PLYMTH"",""endTpl"":""PARR"",""headcode"":""2C49"",""position"":1,""reversed"":true},{""rid"":""202605027623471"",""start"":""2026-05-02T15:15:00"",""end"":""2026-05-02T15:53:00"",""startTpl"":""PENZNCE"",""endTpl"":""TRURO"",""headcode"":""2P24"",""position"":1,""reversed"":false},{""rid"":""202605027623731"",""start"":""2026-05-02T17:31:00"",""end"":""2026-05-02T17:41:00"",""startTpl"":""PLYMTH"",""endTpl"":""MNTGLCW"",""headcode"":""5P24"",""position"":2,""reversed"":false}]"
175006,175/0,2026-05-01T02:06:57.327Z,2026-05-01T02:07:43.691Z,2026-05-01T02:07:43.691Z,,,"[{""vehicleId"":""50706"",""typeOfVehicle"":""C"",""position"":1,""plannedGroupId"":""175006"",""specificType"":""DP2760A"",""lengthMm"":23058,""weightTonnes"":51,""livery"":""NT"",""decor"":""ZZ"",""specialCharacteristics"":null,""numberOfSeats"":64,""vehicleStatus"":""N"",""registeredStatus"":""C"",""registeredStatusLabel"":""Operational"",""cabs"":1,""dateEnteredService"":""2000-05-08"",""dateRegistered"":""2021-10-07"",""registeredCategory"":""J"",""registeredCategoryLabel"":""Diesel mechanical multiple unit (passenger)"",""vehicleName"":null,""trainBrakeType"":""E"",""trainBrakeTypeLabel"":""EP / electro-pneumatic"",""maximumSpeedMph"":100,""restrictiveMaximumSpeedMph"":null,""radioNumberA"":null,""radioNumberB"":null,""defects"":[]},{""vehicleId"":""79765"",""typeOfVehicle"":""C"",""position"":2,""plannedGroupId"":""175115"",""specificType"":""DP2790A"",""lengthMm"":23925,""weightTonnes"":51,""livery"":""NT"",""decor"":""ZZ"",""specialCharacteristics"":null,""numberOfSeats"":70,""vehicleStatus"":""N"",""registeredStatus"":""C"",""registeredStatusLabel"":""Operational"",""cabs"":1,""dateEnteredService"":""2001-08-08"",""dateRegistered"":""2021-10-07"",""registeredCategory"":""J"",""registeredCategoryLabel"":""Diesel mechanical multiple unit (passenger)"",""vehicleName"":null,""trainBrakeType"":""E"",""trainBrakeTypeLabel"":""EP / electro-pneumatic"",""maximumSpeedMph"":100,""restrictiveMaximumSpeedMph"":null,""radioNumberA"":null,""radioNumberB"":null,""defects"":[]}]","[{""rid"":""202605018023282"",""start"":""2026-05-01T13:14:00"",""end"":""2026-05-01T13:19:00"",""startTpl"":""LARATMD"",""endTpl"":""MNTGLDJ"",""headcode"":""5C26"",""position"":1,""reversed"":false},{""rid"":""202605018022971"",""start"":""2026-05-01T13:40:00"",""end"":""2026-05-01T14:37:30"",""startTpl"":""PLYMTH"",""endTpl"":""PARR"",""headcode"":""2C26"",""position"":1,""reversed"":true},{""rid"":""202605018023144"",""start"":""2026-05-01T15:52:00"",""end"":""2026-05-01T16:30:00"",""startTpl"":""PENZNCE"",""endTpl"":""TRURO"",""headcode"":""2P21"",""position"":1,""reversed"":false},{""rid"":""202605018023459"",""start"":""2026-05-01T17:56:00"",""end"":""2026-05-01T18:06:00"",""startTpl"":""PLYMTH"",""endTpl"":""MNTGLCW"",""headcode"":""5P21"",""position"":2,""reversed"":false}]"
175007,175/0,2026-05-01T02:07:32.205Z,2026-05-01T15:49:51.202Z,2026-05-01T15:49:51.202Z,4054396,"{""2026-05-01"":4054396}","[{""vehicleId"":""50707"",""typeOfVehicle"":""C"",""position"":1,""plannedGroupId"":""175007"",""specificType"":""DP2760A"",""lengthMm"":23058,""weightTonnes"":51,""livery"":""NT"",""decor"":""ZZ"",""specialCharacteristics"":null,""numberOfSeats"":64,""vehicleStatus"":""N"",""registeredStatus"":""C"",""registeredStatusLabel"":""Operational"",""cabs"":1,""dateEnteredService"":""2000-05-11"",""dateRegistered"":""2021-10-07"",""registeredCategory"":""J"",""registeredCategoryLabel"":""Diesel mechanical multiple unit (passenger)"",""vehicleName"":null,""trainBrakeType"":""E"",""trainBrakeTypeLabel"":""EP / electro-pneumatic"",""maximumSpeedMph"":100,""restrictiveMaximumSpeedMph"":null,""radioNumberA"":null,""radioNumberB"":null,""defects"":[]},{""vehicleId"":""79707"",""typeOfVehicle"":""C"",""position"":2,""plannedGroupId"":""175007"",""specificType"":""DP2770A"",""lengthMm"":23925,""weightTonnes"":51,""livery"":""NT"",""decor"":""ZZ"",""specialCharacteristics"":null,""numberOfSeats"":70,""vehicleStatus"":""N"",""registeredStatus"":""C"",""registeredStatusLabel"":""Operational"",""cabs"":1,""dateEnteredService"":""2000-05-11"",""dateRegistered"":""2021-10-07"",""registeredCategory"":""J"",""registeredCategoryLabel"":""Diesel mechanical multiple unit (passenger)"",""vehicleName"":null,""trainBrakeType"":""E"",""trainBrakeTypeLabel"":""EP / electro-pneumatic"",""maximumSpeedMph"":100,""restrictiveMaximumSpeedMph"":null,""radioNumberA"":null,""radioNumberB"":null,""defects"":[]}]","[{""rid"":""202605018604287"",""start"":""2026-05-01T05:59:00"",""end"":""2026-05-01T06:02:00"",""startTpl"":""LARATMD"",""endTpl"":""LARAJN"",""headcode"":""5Z11"",""position"":1,""reversed"":true},{""rid"":""202605018604286"",""start"":""2026-05-01T06:23:00"",""end"":""2026-05-01T06:53:00"",""startTpl"":""PLYMTH"",""endTpl"":""LISKARD"",""headcode"":""5Z12"",""position"":2,""reversed"":false},{""rid"":""202605018604285"",""start"":""2026-05-01T07:51:00"",""end"":""2026-05-01T08:52:30"",""startTpl"":""PLYMTH"",""endTpl"":""PARR"",""headcode"":""5Z13"",""position"":2,""reversed"":false},{""rid"":""202605018604283"",""start"":""2026-05-01T13:16:00"",""end"":""2026-05-01T14:12:00"",""startTpl"":""PLYMTH"",""endTpl"":""PARR"",""headcode"":""5Z23"",""position"":2,""reversed"":false},{""rid"":""202605018023144"",""start"":""2026-05-01T15:52:00"",""end"":""2026-05-01T16:30:00"",""startTpl"":""PENZNCE"",""endTpl"":""TRURO"",""headcode"":""2P21"",""position"":1,""reversed"":true},{""rid"":""202605018604282"",""start"":""2026-05-01T17:47:00"",""end"":""2026-05-01T18:59:00"",""startTpl"":""PARR"",""endTpl"":""PENZNCE"",""headcode"":""5Z24"",""position"":2,""reversed"":false},{""rid"":""202605018023459"",""start"":""2026-05-01T17:56:00"",""end"":""2026-05-01T18:06:00"",""startTpl"":""PLYMTH"",""endTpl"":""MNTGLCW"",""headcode"":""5P21"",""position"":1,""reversed"":true},{""rid"":""202605018604284"",""start"":""2026-05-01T22:31:00"",""end"":""2026-05-01T22:36:00"",""startTpl"":""PLYMTH"",""endTpl"":""LARAJN"",""headcode"":""5Z16"",""position"":1,""reversed"":true}]"
175009,175/0,2026-05-01T02:07:25.034Z,2026-05-01T15:49:36.248Z,2026-05-01T15:49:36.248Z,4053833,"{""2026-05-01"":4053833}","[{""vehicleId"":""50709"",""typeOfVehicle"":""C"",""position"":1,""plannedGroupId"":""175009"",""specificType"":""DP2760A"",""lengthMm"":23058,""weightTonnes"":51,""livery"":""NT"",""decor"":""ZZ"",""specialCharacteristics"":null,""numberOfSeats"":64,""vehicleStatus"":""N"",""registeredStatus"":""C"",""registeredStatusLabel"":""Operational"",""cabs"":1,""dateEnteredService"":""2000-07-07"",""dateRegistered"":""2021-10-07"",""registeredCategory"":""J"",""registeredCategoryLabel"":""Diesel mechanical multiple unit (passenger)"",""vehicleName"":null,""trainBrakeType"":""E"",""trainBrakeTypeLabel"":""EP / electro-pneumatic"",""maximumSpeedMph"":100,""restrictiveMaximumSpeedMph"":null,""radioNumberA"":null,""radioNumberB"":null,""defects"":[]},{""vehicleId"":""79709"",""typeOfVehicle"":""C"",""position"":2,""plannedGroupId"":""175009"",""specificType"":""DP2770A"",""lengthMm"":23925,""weightTonnes"":51,""livery"":""NT"",""decor"":""ZZ"",""specialCharacteristics"":null,""numberOfSeats"":70,""vehicleStatus"":""N"",""registeredStatus"":""C"",""registeredStatusLabel"":""Operational"",""cabs"":1,""dateEnteredService"":""2000-07-07"",""dateRegistered"":""2021-10-07"",""registeredCategory"":""J"",""registeredCategoryLabel"":""Diesel mechanical multiple unit (passenger)"",""vehicleName"":null,""trainBrakeType"":""E"",""trainBrakeTypeLabel"":""EP / electro-pneumatic"",""maximumSpeedMph"":100,""restrictiveMaximumSpeedMph"":null,""radioNumberA"":null,""radioNumberB"":null,""defects"":[]}]","[{""rid"":""202605018023277"",""start"":""2026-05-01T04:49:00"",""end"":""2026-05-01T04:54:00"",""startTpl"":""LARATMD"",""endTpl"":""MNTGLDJ"",""headcode"":""5C00"",""position"":1,""reversed"":false},{""rid"":""202605018022962"",""start"":""2026-05-01T05:33:00"",""end"":""2026-05-01T06:24:30"",""startTpl"":""PLYMTH"",""endTpl"":""PARR"",""headcode"":""2C00"",""position"":1,""reversed"":true},{""rid"":""202605018023006"",""start"":""2026-05-01T07:45:00"",""end"":""2026-05-01T08:23:00"",""startTpl"":""PENZNCE"",""endTpl"":""TRURO"",""headcode"":""2E06"",""position"":1,""reversed"":false},{""rid"":""202605018022969"",""start"":""2026-05-01T11:27:00"",""end"":""2026-05-01T12:34:00"",""startTpl"":""EXETRSD"",""endTpl"":""PLYMTH"",""headcode"":""2C20"",""position"":1,""reversed"":true},{""rid"":""202605018023143"",""start"":""2026-05-01T15:15:00"",""end"":""2026-05-01T15:53:00"",""startTpl"":""PENZNCE"",""endTpl"":""TRURO"",""headcode"":""2P20"",""position"":1,""reversed"":false},{""rid"":""202605018023459"",""start"":""2026-05-01T17:56:00"",""end"":""2026-05-01T18:06:00"",""startTpl"":""PLYMTH"",""endTpl"":""MNTGLCW"",""headcode"":""5P21"",""position"":1,""reversed"":false}]"
175011,175/0,2026-05-01T02:07:32.205Z,2026-05-01T15:49:51.202Z,2026-05-01T15:49:51.202Z,4069182,"{""2026-05-01"":4069182}","[{""vehicleId"":""50711"",""typeOfVehicle"":""C"",""position"":1,""plannedGroupId"":""175011"",""specificType"":""DP2760A"",""lengthMm"":23058,""weightTonnes"":51,""livery"":""NT"",""decor"":""ZZ"",""specialCharacteristics"":null,""numberOfSeats"":64,""vehicleStatus"":""N"",""registeredStatus"":""C"",""registeredStatusLabel"":""Operational"",""cabs"":1,""dateEnteredService"":""2000-08-08"",""dateRegistered"":""2021-10-07"",""registeredCategory"":""J"",""registeredCategoryLabel"":""Diesel mechanical multiple unit (passenger)"",""vehicleName"":null,""trainBrakeType"":""E"",""trainBrakeTypeLabel"":""EP / electro-pneumatic"",""maximumSpeedMph"":100,""restrictiveMaximumSpeedMph"":null,""radioNumberA"":null,""radioNumberB"":null,""defects"":[]},{""vehicleId"":""79711"",""typeOfVehicle"":""C"",""position"":2,""plannedGroupId"":""175011"",""specificType"":""DP2770A"",""lengthMm"":23925,""weightTonnes"":51,""livery"":""NT"",""decor"":""ZZ"",""specialCharacteristics"":null,""numberOfSeats"":70,""vehicleStatus"":""N"",""registeredStatus"":""C"",""registeredStatusLabel"":""Operational"",""cabs"":1,""dateEnteredService"":""2000-08-09"",""dateRegistered"":""2021-10-07"",""registeredCategory"":""J"",""registeredCategoryLabel"":""Diesel mechanical multiple unit (passenger)"",""vehicleName"":null,""trainBrakeType"":""E"",""trainBrakeTypeLabel"":""EP / electro-pneumatic"",""maximumSpeedMph"":100,""restrictiveMaximumSpeedMph"":null,""radioNumberA"":null,""radioNumberB"":null,""defects"":[]}]","[{""rid"":""202605018604287"",""start"":""2026-05-01T05:59:00"",""end"":""2026-05-01T06:02:00"",""startTpl"":""LARATMD"",""endTpl"":""LARAJN"",""headcode"":""5Z11"",""position"":2,""reversed"":false},{""rid"":""202605018604286"",""start"":""2026-05-01T06:23:00"",""end"":""2026-05-01T06:53:00"",""startTpl"":""PLYMTH"",""endTpl"":""LISKARD"",""headcode"":""5Z12"",""position"":1,""reversed"":true},{""rid"":""202605018604285"",""start"":""2026-05-01T07:51:00"",""end"":""2026-05-01T08:52:30"",""startTpl"":""PLYMTH"",""endTpl"":""PARR"",""headcode"":""5Z13"",""position"":1,""reversed"":true},{""rid"":""202605018604283"",""start"":""2026-05-01T13:16:00"",""end"":""2026-05-01T14:12:00"",""startTpl"":""PLYMTH"",""endTpl"":""PARR"",""headcode"":""5Z23"",""position"":1,""reversed"":true},{""rid"":""202605018023144"",""start"":""2026-05-01T15:52:00"",""end"":""2026-05-01T16:30:00"",""startTpl"":""PENZNCE"",""endTpl"":""TRURO"",""headcode"":""2P21"",""position"":2,""reversed"":false},{""rid"":""202605018604282"",""start"":""2026-05-01T17:47:00"",""end"":""2026-05-01T18:59:00"",""startTpl"":""PARR"",""endTpl"":""PENZNCE"",""headcode"":""5Z24"",""position"":1,""reversed"":true},{""rid"":""202605018023459"",""start"":""2026-05-01T17:56:00"",""end"":""2026-05-01T18:06:00"",""startTpl"":""PLYMTH"",""endTpl"":""MNTGLCW"",""headcode"":""5P21"",""position"":1,""reversed"":false},{""rid"":""202605018604284"",""start"":""2026-05-01T22:31:00"",""end"":""2026-05-01T22:36:00"",""startTpl"":""PLYMTH"",""endTpl"":""LARAJN"",""headcode"":""5Z16"",""position"":2,""reversed"":false}]"
