unitId,fleetId,firstSeenAt,lastSeenAt,updatedAt,lastEndOfDayMiles,endOfDayMileageByDate,vehicles,services
153305,153/1,2026-05-01T01:01:26.680Z,2026-05-03T05:44:51.982Z,2026-05-03T05:44:51.982Z,3542931,"{""2026-05-02"":3542723,""2026-05-03"":3542931}","[{""vehicleId"":""52305"",""typeOfVehicle"":""C"",""position"":1,""plannedGroupId"":""153305"",""specificType"":""DX2090A"",""lengthMm"":23208,""weightTonnes"":41,""livery"":""XX"",""decor"":""ZZ"",""specialCharacteristics"":""GWY"",""numberOfSeats"":24,""vehicleStatus"":""N"",""registeredStatus"":""C"",""registeredStatusLabel"":""Operational"",""cabs"":2,""dateEnteredService"":""1987-10-03"",""dateRegistered"":""2021-03-29"",""registeredCategory"":""J"",""registeredCategoryLabel"":""Diesel mechanical multiple unit (passenger)"",""vehicleName"":""Fgw Local Lines"",""trainBrakeType"":""E"",""trainBrakeTypeLabel"":""EP / electro-pneumatic"",""maximumSpeedMph"":75,""restrictiveMaximumSpeedMph"":null,""radioNumberA"":null,""radioNumberB"":null,""defects"":[{""maintenanceUid"":""141130224"",""code"":""EV"",""location"":""EX1"",""description"":""CCTV Hard Drives Last Changed 06/03/2018"",""status"":""O"",""statusLabel"":""Open""},{""maintenanceUid"":""160375028"",""code"":""AW"",""location"":""ICS"",""description"":""No1 END WIPER CONTROL KNOB GRUB SCREW LOOSE"",""status"":""O"",""statusLabel"":""Open""},{""maintenanceUid"":""172765019"",""code"":""CW"",""location"":""EX1"",""description"":""153 Door Glass Security Check completed"",""status"":""O"",""statusLabel"":""Open""},{""maintenanceUid"":""180095080"",""code"":""H*"",""location"":""EX1"",""description"":""No2 cab heater thermostat to renew"",""status"":""O"",""statusLabel"":""Open""},{""maintenanceUid"":""180305043"",""code"":""EV"",""location"":""PM1"",""description"":""CCTV cam 1 & 3 req adjusting"",""status"":""O"",""statusLabel"":""Open""},{""maintenanceUid"":""181115027"",""code"":""UX"",""location"":""EX1"",""description"":""bogie no2 body to bogie hoses starting to pe(..R2)"",""status"":""O"",""statusLabel"":""Open""},{""maintenanceUid"":""181115028"",""code"":""QX"",""location"":""EX1"",""description"":""rad mounts starting to split keep under obs"",""status"":""O"",""statusLabel"":""Open""},{""maintenanceUid"":""181125009"",""code"":""UC"",""location"":""EX1"",""description"":""Level 1 coupled brake app checks completed 2(..R2)"",""status"":""O"",""statusLabel"":""Open""}]}]","[{""rid"":""202605017108895"",""start"":""2026-05-01T11:39:00"",""end"":""2026-05-01T11:45:00"",""startTpl"":""EFLDTMD"",""endTpl"":""GLGQHL"",""headcode"":""5Y23"",""position"":2,""reversed"":false},{""rid"":""202605018939647"",""start"":""2026-05-01T12:22:00"",""end"":""2026-05-01T12:42:00"",""startTpl"":""GLGQHL"",""endTpl"":""DALMUIR"",""headcode"":""1Y23"",""position"":2,""reversed"":false},{""rid"":""202605018974397"",""start"":""2026-05-01T14:24:00"",""end"":""2026-05-01T14:48:00"",""startTpl"":""CRNLRCH"",""endTpl"":""BOORCHY"",""headcode"":""1Y43"",""position"":1,""reversed"":false},{""rid"":""202605018939697"",""start"":""2026-05-01T17:37:00"",""end"":""2026-05-01T18:35:00"",""startTpl"":""FRTWLM"",""endTpl"":""RANNOCH"",""headcode"":""1Y48"",""position"":3,""reversed"":false},{""rid"":""202605017176944"",""start"":""2026-05-01T22:40:00"",""end"":""2026-05-01T22:44:00"",""startTpl"":""GLGQHL"",""endTpl"":""EFLDPL"",""headcode"":""5Y48"",""position"":2,""reversed"":false},{""rid"":""202605027176878"",""start"":""2026-05-02T05:16:00"",""end"":""2026-05-02T05:30:00"",""startTpl"":""CKHLCSD"",""endTpl"":""BLGRVE"",""headcode"":""5W73"",""position"":1,""reversed"":false},{""rid"":""202605027108894"",""start"":""2026-05-02T11:34:00"",""end"":""2026-05-02T11:40:00"",""startTpl"":""EFLDTMD"",""endTpl"":""GLGQHL"",""headcode"":""5Y23"",""position"":2,""reversed"":false},{""rid"":""202605028939648"",""start"":""2026-05-02T12:22:00"",""end"":""2026-05-02T12:42:00"",""startTpl"":""GLGQHL"",""endTpl"":""DALMUIR"",""headcode"":""1Y23"",""position"":2,""reversed"":false},{""rid"":""202605028974397"",""start"":""2026-05-02T14:24:00"",""end"":""2026-05-02T14:48:00"",""startTpl"":""CRNLRCH"",""endTpl"":""BOORCHY"",""headcode"":""1Y43"",""position"":1,""reversed"":false},{""rid"":""202605027176231"",""start"":""2026-05-02T15:35:00"",""end"":""2026-05-02T15:42:00"",""startTpl"":""EFLDTMD"",""endTpl"":""GLGQHL"",""headcode"":""5L85"",""position"":2,""reversed"":false},{""rid"":""202605028939684"",""start"":""2026-05-02T16:35:00"",""end"":""2026-05-02T16:57:00"",""startTpl"":""GLGQHL"",""endTpl"":""DALMUIR"",""headcode"":""1Y29"",""position"":1,""reversed"":false},{""rid"":""202605028939696"",""start"":""2026-05-02T17:37:00"",""end"":""2026-05-02T18:35:00"",""startTpl"":""FRTWLM"",""endTpl"":""RANNOCH"",""headcode"":""1Y48"",""position"":3,""reversed"":false},{""rid"":""202605027176918"",""start"":""2026-05-02T21:35:00"",""end"":""2026-05-02T21:37:00"",""startTpl"":""OBAN"",""endTpl"":""OBANGF"",""headcode"":""5Y27"",""position"":2,""reversed"":false},{""rid"":""202605027176943"",""start"":""2026-05-02T22:48:00"",""end"":""2026-05-02T22:55:00"",""startTpl"":""GLGQHL"",""endTpl"":""EFLDTMD"",""headcode"":""5Y48"",""position"":2,""reversed"":false},{""rid"":""202605037176902"",""start"":""2026-05-03T09:39:00"",""end"":""2026-05-03T09:45:00"",""startTpl"":""EFLDTMD"",""endTpl"":""GLGQHL"",""headcode"":""5Y21"",""position"":2,""reversed"":false},{""rid"":""202605038939637"",""start"":""2026-05-03T09:56:00"",""end"":""2026-05-03T10:11:00"",""startTpl"":""GLGQHL"",""endTpl"":""DALMUIR"",""headcode"":""1Y21"",""position"":1,""reversed"":false},{""rid"":""202605037176904"",""start"":""2026-05-03T13:10:00"",""end"":""2026-05-03T13:12:00"",""startTpl"":""OBAN"",""endTpl"":""OBANGF"",""headcode"":""5Y21"",""position"":2,""reversed"":false},{""rid"":""202605038939663"",""start"":""2026-05-03T16:11:00"",""end"":""2026-05-03T17:25:00"",""startTpl"":""OBAN"",""endTpl"":""CRNLRCH"",""headcode"":""1Y26"",""position"":2,""reversed"":true},{""rid"":""202605037176913"",""start"":""2026-05-03T20:51:00"",""end"":""2026-05-03T20:58:00"",""startTpl"":""GLGQHL"",""endTpl"":""EFLDTMD"",""headcode"":""5Y26"",""position"":1,""reversed"":true}]"
153370,153/1,2026-04-30T15:15:58.296Z,2026-05-02T16:06:28.129Z,2026-05-02T16:06:28.129Z,3349987,"{""2026-05-02"":3349987}","[{""vehicleId"":""57370"",""typeOfVehicle"":""C"",""position"":1,""plannedGroupId"":""153370"",""specificType"":""DX2090A"",""lengthMm"":23208,""weightTonnes"":41,""livery"":""GW"",""decor"":""ZZ"",""specialCharacteristics"":""GWY"",""numberOfSeats"":24,""vehicleStatus"":""N"",""registeredStatus"":""C"",""registeredStatusLabel"":""Operational"",""cabs"":2,""dateEnteredService"":""1988-02-19"",""dateRegistered"":""2021-03-29"",""registeredCategory"":""J"",""registeredCategoryLabel"":""Diesel mechanical multiple unit (passenger)"",""vehicleName"":null,""trainBrakeType"":""E"",""trainBrakeTypeLabel"":""EP / electro-pneumatic"",""maximumSpeedMph"":75,""restrictiveMaximumSpeedMph"":null,""radioNumberA"":null,""radioNumberB"":null,""defects"":[{""maintenanceUid"":""142190316"",""code"":""AI"",""location"":""TDH"",""description"":""TRIAL NORGREN FITTED OFF OF MAIN RES TANK"",""status"":""O"",""statusLabel"":""Open""},{""maintenanceUid"":""160415052"",""code"":""H*"",""location"":""DVR"",""description"":""CAB HEAT VERY POOR IN BOTH CABS"",""status"":""O"",""statusLabel"":""Open""},{""maintenanceUid"":""160435089"",""code"":""VX"",""location"":""TRI"",""description"":""otmr d/load no brk release 2f79"",""status"":""O"",""statusLabel"":""Open""},{""maintenanceUid"":""181655123"",""code"":""EV"",""location"":""EX1"",""description"":""Check OTDR battery date - Change if out"",""status"":""O"",""statusLabel"":""Open""},{""maintenanceUid"":""181745090"",""code"":""UH"",""location"":""EX1"",""description"":""Radial arm bush worn No 2 end wheels 3,4. p(..R2)"",""status"":""O"",""statusLabel"":""Open""}]}]","[{""rid"":""202604307176920"",""start"":""2026-04-30T21:35:00"",""end"":""2026-04-30T21:37:00"",""startTpl"":""OBAN"",""endTpl"":""OBANGF"",""headcode"":""5Y27"",""position"":2,""reversed"":false},{""rid"":""202605018974336"",""start"":""2026-05-01T05:17:00"",""end"":""2026-05-01T06:31:00"",""startTpl"":""OBAN"",""endTpl"":""CRNLRCH"",""headcode"":""1Y20"",""position"":2,""reversed"":false},{""rid"":""202605017176900"",""start"":""2026-05-01T09:22:00"",""end"":""2026-05-01T09:29:00"",""startTpl"":""GLGQHL"",""endTpl"":""EFLDTMD"",""headcode"":""5Y20"",""position"":1,""reversed"":false},{""rid"":""202605017176910"",""start"":""2026-05-01T10:19:00"",""end"":""2026-05-01T10:25:00"",""startTpl"":""EFLDTMD"",""endTpl"":""GLGQHL"",""headcode"":""5Y25"",""position"":2,""reversed"":false},{""rid"":""202605018939660"",""start"":""2026-05-01T10:36:00"",""end"":""2026-05-01T10:57:00"",""startTpl"":""GLGQHL"",""endTpl"":""DALMUIR"",""headcode"":""1Y25"",""position"":1,""reversed"":false},{""rid"":""202605017176911"",""start"":""2026-05-01T14:00:00"",""end"":""2026-05-01T14:02:00"",""startTpl"":""OBAN"",""endTpl"":""OBANGF"",""headcode"":""5Y25"",""position"":2,""reversed"":false},{""rid"":""202605017176912"",""start"":""2026-05-01T14:14:00"",""end"":""2026-05-01T14:16:00"",""startTpl"":""OBAN"",""endTpl"":""OBANGF"",""headcode"":""5Y26"",""position"":2,""reversed"":true},{""rid"":""202605018939665"",""start"":""2026-05-01T14:41:00"",""end"":""2026-05-01T15:54:00"",""startTpl"":""OBAN"",""endTpl"":""CRNLRCH"",""headcode"":""1Y26"",""position"":2,""reversed"":false},{""rid"":""202605017176749"",""start"":""2026-05-01T18:34:00"",""end"":""2026-05-01T18:41:00"",""startTpl"":""GLGQHL"",""endTpl"":""EFLDTMD"",""headcode"":""5T99"",""position"":1,""reversed"":false},{""rid"":""202605027108894"",""start"":""2026-05-02T11:34:00"",""end"":""2026-05-02T11:40:00"",""startTpl"":""EFLDTMD"",""endTpl"":""GLGQHL"",""headcode"":""5Y23"",""position"":2,""reversed"":false},{""rid"":""202605028939648"",""start"":""2026-05-02T12:22:00"",""end"":""2026-05-02T12:42:00"",""startTpl"":""GLGQHL"",""endTpl"":""DALMUIR"",""headcode"":""1Y23"",""position"":2,""reversed"":false},{""rid"":""202605028974397"",""start"":""2026-05-02T14:24:00"",""end"":""2026-05-02T14:48:00"",""startTpl"":""CRNLRCH"",""endTpl"":""BOORCHY"",""headcode"":""1Y43"",""position"":1,""reversed"":false},{""rid"":""202605027176231"",""start"":""2026-05-02T15:35:00"",""end"":""2026-05-02T15:42:00"",""startTpl"":""EFLDTMD"",""endTpl"":""GLGQHL"",""headcode"":""5L85"",""position"":2,""reversed"":false},{""rid"":""202605028939684"",""start"":""2026-05-02T16:35:00"",""end"":""2026-05-02T16:57:00"",""startTpl"":""GLGQHL"",""endTpl"":""DALMUIR"",""headcode"":""1Y29"",""position"":1,""reversed"":false},{""rid"":""202605028939696"",""start"":""2026-05-02T17:37:00"",""end"":""2026-05-02T18:35:00"",""startTpl"":""FRTWLM"",""endTpl"":""RANNOCH"",""headcode"":""1Y48"",""position"":3,""reversed"":false},{""rid"":""202605027176918"",""start"":""2026-05-02T21:35:00"",""end"":""2026-05-02T21:37:00"",""startTpl"":""OBAN"",""endTpl"":""OBANGF"",""headcode"":""5Y27"",""position"":2,""reversed"":false},{""rid"":""202605027176943"",""start"":""2026-05-02T22:48:00"",""end"":""2026-05-02T22:55:00"",""startTpl"":""GLGQHL"",""endTpl"":""EFLDTMD"",""headcode"":""5Y48"",""position"":2,""reversed"":false}]"
153373,153/1,2026-05-01T11:11:23.007Z,2026-05-03T05:44:51.647Z,2026-05-03T05:44:51.647Z,3408816,"{""2026-05-01"":3408297,""2026-05-02"":3408608,""2026-05-03"":3408816}","[{""vehicleId"":""57373"",""typeOfVehicle"":""C"",""position"":1,""plannedGroupId"":""153373"",""specificType"":""DX2090A"",""lengthMm"":23208,""weightTonnes"":41,""livery"":""GW"",""decor"":""ZZ"",""specialCharacteristics"":""GWY"",""numberOfSeats"":24,""vehicleStatus"":""N"",""registeredStatus"":""C"",""registeredStatusLabel"":""Operational"",""cabs"":2,""dateEnteredService"":""1988-03-16"",""dateRegistered"":""2021-03-29"",""registeredCategory"":""J"",""registeredCategoryLabel"":""Diesel mechanical multiple unit (passenger)"",""vehicleName"":""Fgw Local Lines"",""trainBrakeType"":""E"",""trainBrakeTypeLabel"":""EP / electro-pneumatic"",""maximumSpeedMph"":75,""restrictiveMaximumSpeedMph"":null,""radioNumberA"":null,""radioNumberB"":null,""defects"":[{""maintenanceUid"":""111150215"",""code"":""EV"",""location"":""EX1"",""description"":""CCTV Hard Drives Last Changed 12/02/2018"",""status"":""O"",""statusLabel"":""Open""},{""maintenanceUid"":""172715073"",""code"":""OO"",""location"":""EX1"",""description"":""153 door glass security check complete 28/09/17"",""status"":""O"",""statusLabel"":""Open""},{""maintenanceUid"":""172765013"",""code"":""CW"",""location"":""EX1"",""description"":""153 Door Glass Security Check completed"",""status"":""O"",""statusLabel"":""Open""},{""maintenanceUid"":""173345130"",""code"":""EV"",""location"":""PM1"",""description"":""CCTV cam 3 lens obscured by antil glare cloth"",""status"":""O"",""statusLabel"":""Open""}]}]","[{""rid"":""202605017176883"",""start"":""2026-05-01T12:19:00"",""end"":""2026-05-01T12:42:00"",""startTpl"":""CKHLCSD"",""endTpl"":""BLGRVE"",""headcode"":""5W75"",""position"":1,""reversed"":true},{""rid"":""202605017176232"",""start"":""2026-05-01T15:37:00"",""end"":""2026-05-01T15:43:00"",""startTpl"":""EFLDTMD"",""endTpl"":""GLGQHL"",""headcode"":""5L85"",""position"":2,""reversed"":true},{""rid"":""202605018939683"",""start"":""2026-05-01T16:34:00"",""end"":""2026-05-01T16:57:00"",""startTpl"":""GLGQHL"",""endTpl"":""DALMUIR"",""headcode"":""1Y29"",""position"":1,""reversed"":true},{""rid"":""202605017176920"",""start"":""2026-05-01T21:35:00"",""end"":""2026-05-01T21:37:00"",""startTpl"":""OBAN"",""endTpl"":""OBANGF"",""headcode"":""5Y27"",""position"":2,""reversed"":true},{""rid"":""202605028974337"",""start"":""2026-05-02T05:17:00"",""end"":""2026-05-02T06:31:00"",""startTpl"":""OBAN"",""endTpl"":""CRNLRCH"",""headcode"":""1Y20"",""position"":2,""reversed"":false},{""rid"":""202605027176901"",""start"":""2026-05-02T09:22:00"",""end"":""2026-05-02T09:29:00"",""startTpl"":""GLGQHL"",""endTpl"":""EFLDTMD"",""headcode"":""5Y20"",""position"":1,""reversed"":false},{""rid"":""202605027176909"",""start"":""2026-05-02T10:17:00"",""end"":""2026-05-02T10:24:00"",""startTpl"":""EFLDTMD"",""endTpl"":""GLGQHL"",""headcode"":""5Y25"",""position"":2,""reversed"":false},{""rid"":""202605028939659"",""start"":""2026-05-02T10:36:00"",""end"":""2026-05-02T10:57:00"",""startTpl"":""GLGQHL"",""endTpl"":""DALMUIR"",""headcode"":""1Y25"",""position"":1,""reversed"":false},{""rid"":""202605028939664"",""start"":""2026-05-02T16:11:00"",""end"":""2026-05-02T17:21:00"",""startTpl"":""OBAN"",""endTpl"":""CRNLRCH"",""headcode"":""1Y26"",""position"":2,""reversed"":false},{""rid"":""202605027176914"",""start"":""2026-05-02T19:30:00"",""end"":""2026-05-02T19:38:00"",""startTpl"":""GLGQHL"",""endTpl"":""EFLDTMD"",""headcode"":""5Y26"",""position"":1,""reversed"":false},{""rid"":""202605037108897"",""start"":""2026-05-03T08:19:00"",""end"":""2026-05-03T08:25:00"",""startTpl"":""EFLDTMD"",""endTpl"":""GLGQHL"",""headcode"":""5Y29"",""position"":2,""reversed"":false},{""rid"":""202605038939682"",""start"":""2026-05-03T09:03:00"",""end"":""2026-05-03T09:25:00"",""startTpl"":""GLGQHL"",""endTpl"":""DALMUIR"",""headcode"":""1Y29"",""position"":1,""reversed"":false},{""rid"":""202605037108899"",""start"":""2026-05-03T12:30:00"",""end"":""2026-05-03T12:32:00"",""startTpl"":""OBAN"",""endTpl"":""OBANGF"",""headcode"":""5Y30"",""position"":2,""reversed"":false},{""rid"":""202605038939689"",""start"":""2026-05-03T17:04:00"",""end"":""2026-05-03T18:23:00"",""startTpl"":""OBAN"",""endTpl"":""CRNLRCH"",""headcode"":""1Y30"",""position"":2,""reversed"":true},{""rid"":""202605037108905"",""start"":""2026-05-03T20:35:00"",""end"":""2026-05-03T20:42:00"",""startTpl"":""GLGQHL"",""endTpl"":""EFLDTMD"",""headcode"":""5Y31"",""position"":1,""reversed"":true}]"
